iso3,year_first,year_last,fi_1_first,fi_1_last
AFG,2017,2022,0.108644544220837,0.209967566882899
AGO,2019,2021,0.314207369171377,0.242492768210135
BDI,2017,2022,0.0892627528721657,0.0402511898066904
BEN,2021,2022,0.010426592991402,0.00780395729019806
BFA,2021,2022,0.0450701701768574,0.046751720815647
CAF,2017,2023,0.123811445715257,0.207796683129476
CIV,2020,2022,0.0100664904990384,0.0179913944706826
CMR,2021,2022,0.0302950648324398,0.0470408150568484
COD,2017,2023,0.0424193775271484,0.0884822043637082
CPV,2022,2022,0.0338986438612598,0.0338986438612598
DJI,2020,2022,0.0539626046418367,0.0577032059185842
DOM,2022,2023,0.0532031863485565,0.0397557357465525
ETH,2019,2021,0.113987140761577,0.128923760973359
GHA,2021,2022,0.00176404378072834,0.020769231181724
GIN,2021,2022,0.0205007575108064,0.022072620313161
GMB,2021,2022,0.0157664895134212,0.0292209607582421
GNB,2021,2022,0.0255053688297369,0.0221202891665985
GTM,2017,2022,0.0327373934811687,0.0989644364649809
HND,2019,2022,0.0742467477406305,0.104101992119321
HTI,2017,2023,0.132901902809624,0.215468641398872
KEN,2019,2022,0.0829380815795778,0.125076215550824
LAC,2018,2022,0.0837490176614137,0.11005000685557
LBN,2022,2023,0.142306736266468,0.162385036042754
LBR,2021,2022,0.0779713334197394,0.0264396895495952
LSO,2017,2022,0.0718024231031006,0.0820623581183104
MDG,2017,2023,0.23122578309981,0.149123901293698
MLI,2021,2022,0.0157886241167109,0.0306311442586807
MOZ,2017,2022,0.11551721487569,0.0336768134925716
MRT,2021,2022,0.0342671450766115,0.0529753584845271
MWI,2017,2022,0.0246600040872804,0.0659593447345878
NAM,2019,2022,0.0592846488173439,0.113575507568598
NER,2021,2022,0.0265552755832041,0.0526479103440071
NGA,2021,2022,0.0458105100887789,0.0389880416805216
PAK,2017,2022,0.251951369541637,0.188863057929187
SDN,2019,2022,0.0548179756626814,0.102726361564107
SEN,2021,2022,0.0170718571609473,0.0165211757948174
SLE,2021,2022,0.059024866169038,0.0562921738607703
SLV,2017,2022,0,0.0509920517927374
SOM,2017,2023,0.0910897180431301,0.24504116022062
SSD,2017,2023,0.251888353510397,0.289697283451725
SWZ,2017,2022,0.0725750915750916,0.109669610288189
TCD,2021,2022,0.0264070898662988,0.0408271198571188
TGO,2021,2022,0.0026838517048297,0.0332422654192135
TZA,2017,2023,0.0545415753129115,0.0306634100946794
UGA,2017,2022,0.0152289141266384,0.0917308931736398
YEM,2017,2022,0.28033303819137,0.281920620966478
ZAF,2020,2021,0.0619265601739998,0.0775785756065679
ZMB,2018,2022,0.0765835284427017,0.0482352033917834
ZWE,2019,2021,0.165869802576842,0.142481410625131
